DELPHI DB FILE
FORMAT NUMBER=1
NUMBER OF BOUNDARY POINTS= 1934
42  49  49  0.010   -0.011  -0.001  0.002   -0.001  0.002   
42  49  50  0.008   -0.010  -0.001  0.002   -0.003  0.003   
42  49  51  0.006   -0.007  -0.001  0.001   -0.003  0.004   
42  49  52  0.005   -0.005  -0.001  0.001   -0.003  0.003   
42  50  44  0.004   -0.005  -0.001  0.002   0.003   -0.003  
42  50  45  0.006   -0.006  -0.002  0.002   0.003   -0.003  
42  50  46  0.007   -0.008  -0.002  0.003   0.003   -0.002  
42  50  47  0.008   -0.010  -0.003  0.003   0.002   -0.001  
42  50  48  0.009   -0.010  -0.003  0.003   0.000   0.000   
42  50  49  0.008   -0.010  -0.003  0.003   -0.001  0.002   
42  50  50  0.007   -0.008  -0.002  0.003   -0.002  0.003   
42  50  51  0.006   -0.006  -0.002  0.002   -0.003  0.003   
42  50  52  0.004   -0.005  -0.001  0.002   -0.003  0.003   
42  51  45  0.004   -0.005  -0.002  0.002   0.002   -0.002  
42  51  46  0.006   -0.006  -0.003  0.003   0.002   -0.002  
42  51  47  0.006   -0.007  -0.003  0.004   0.001   -0.001  
42  51  48  0.007   -0.008  -0.003  0.004   0.000   0.000   
42  51  49  0.006   -0.007  -0.003  0.004   -0.001  0.001   
42  51  50  0.006   -0.006  -0.003  0.003   -0.002  0.002   
42  51  51  0.004   -0.005  -0.002  0.002   -0.002  0.002   
42  52  46  0.004   -0.005  -0.003  0.003   0.002   -0.001  
42  52  47  0.005   -0.005  -0.003  0.003   0.001   -0.001  
42  52  48  0.005   -0.006  -0.003  0.003   0.000   0.000   
42  52  49  0.005   -0.005  -0.003  0.003   -0.001  0.001   
42  52  50  0.004   -0.005  -0.003  0.003   -0.001  0.002   
43  43  45  0.003   -0.003  0.003   -0.003  0.002   -0.002  
43  43  46  0.004   -0.004  0.004   -0.004  0.002   -0.001  
43  43  47  0.004   -0.005  0.004   -0.005  0.001   -0.001  
43  43  48  0.005   -0.005  0.005   -0.005  0.000   0.000   
43  43  49  0.004   -0.005  0.004   -0.005  -0.001  0.001   
43  43  50  0.004   -0.004  0.004   -0.004  -0.001  0.002   
43  43  51  0.003   -0.003  0.003   -0.003  -0.002  0.002   
43  44  44  0.003   -0.003  0.003   -0.003  0.003   -0.003  
43  44  45  0.005   -0.005  0.004   -0.004  0.003   -0.003  
43  44  46  0.006   -0.006  0.005   -0.005  0.003   -0.002  
43  44  47  0.007   -0.007  0.006   -0.006  0.002   -0.001  
43  44  48  0.007   -0.008  0.006   -0.006  0.000   0.000   
43  44  49  0.007   -0.007  0.006   -0.006  -0.001  0.002   
43  44  50  0.006   -0.006  0.005   -0.005  -0.002  0.003   
